alg,MAP,prec@5,prec@10,recall@5,recall@10,NDCG,MRR,AUC
(Surprise) BaselineOnlyTrueNo Clean,0.04573,0.04934,0.04361,0.08205,0.14684,0.0855,0.10988,0.63822
(Surprise) CoClusteringTrueNo Clean,0.11158,0.04581,0.04846,0.11986,0.26777,0.15971,0.16576,0.68347
(Surprise) KNNBasic cosine userTrueNo Clean,0.08507,0.04493,0.05463,0.13448,0.30822,0.14832,0.12872,0.71309
K-markov(k=2)TrueNo Clean,0.04919,0.04493,0.05419,0.07983,0.19085,0.09875,0.1061,0.65905
(Surprise) KNNBasic pearson userTrueNo Clean,0.08726,0.04317,0.0467,0.12245,0.24611,0.13649,0.13281,0.67754
(Surprise) KNNWithZScoreTrueNo Clean,0.04868,0.04317,0.0304,0.10882,0.13415,0.07964,0.09204,0.60747
(Surprise) KNNBaselineTrueNo Clean,0.03973,0.04229,0.04097,0.06131,0.16274,0.08182,0.09391,0.63571
(MyMediaLite) BPRSLIMTrueNo Clean,0.03824,0.04229,0.03436,0.08286,0.14031,0.07182,0.08182,0.6137
(MyMediaLite) ItemKNNTrueNo Clean,0.05543,0.04053,0.04449,0.09821,0.21528,0.10297,0.08919,0.65454
(Surprise) SlopeOneTrueNo Clean,0.05708,0.03877,0.03304,0.07114,0.11199,0.08274,0.10735,0.60299
(Surprise) SVD++TrueNo Clean,0.03767,0.03877,0.04053,0.05345,0.11482,0.07119,0.10105,0.61647
(Surprise) KNNBasic pearson itemTrueNo Clean,0.0579,0.03612,0.02599,0.09237,0.11383,0.07911,0.08569,0.59491
(Surprise) SVD (base model)TrueNo Clean,0.02857,0.03348,0.03128,0.05637,0.11498,0.05832,0.0646,0.60979
(Surprise) NMFTrueNo Clean,0.02464,0.02996,0.0304,0.03879,0.09911,0.05268,0.06615,0.59127
(MyMediaLite) MostPopularTrueNo Clean,0.02177,0.02996,0.02159,0.0366,0.05109,0.03841,0.06243,0.56683
(MyMediaLite) WeightedBPRMFTrueNo Clean,0.04259,0.02907,0.02731,0.05888,0.08981,0.06328,0.08274,0.5872
(MyMediaLite) WRMFTrueNo Clean,0.01755,0.02467,0.02335,0.03271,0.06964,0.0382,0.05431,0.57123
(MyMediaLite) MostPopularByAttributesTrueNo Clean,0.01815,0.02379,0.02731,0.02662,0.08981,0.04384,0.05786,0.58681
(MyMediaLite) BPRMFTrueNo Clean,0.01628,0.02115,0.01894,0.04094,0.06918,0.03517,0.03994,0.56751
(Surprise) KNNBasic cosine itemTrueNo Clean,0.01834,0.01938,0.01366,0.03091,0.04083,0.0318,0.055,0.55358
(MyMediaLite) MultiCoreBPRMF TrueNo Clean,0.01544,0.01938,0.02159,0.03095,0.0614,0.03343,0.0486,0.56984
(Surprise) KNNWithMeansTrueNo Clean,0.02328,0.01762,0.03392,0.0202,0.14404,0.05842,0.04397,0.61622
(MyMediaLite) ItemAttributeKNN TrueNo Clean,0.01768,0.01762,0.01894,0.0332,0.06918,0.03605,0.03974,0.56751
(MyMediaLite) RandomTrueNo Clean,0.00574,0.01145,0.00925,0.00825,0.01499,0.0114,0.02315,0.5222
(MyMediaLite) ZeroTrueNo Clean,0.00995,0.00969,0.01366,0.01094,0.02386,0.01849,0.0335,0.53722
(Surprise) NormalPredictorTrueNo Clean,0.00427,0.00969,0.00837,0.00577,0.02193,0.01135,0.01799,0.52869
(MyMediaLite) UserAttributeKNNTrueNo Clean,0.00303,0.00705,0.00925,0.0022,0.01499,0.00863,0.01691,0.5222
(MyMediaLite) SoftMarginRankingMFTrueNo Clean,0.00611,0.00441,0.01013,0.00753,0.0237,0.01415,0.01894,0.53946
