,alg,map,prec@5,prec@10
0,(Surprise) BaselineOnlyTrueNo Clean,0.04587091811761415,0.046696035242290754,0.04361233480176212
0,(Surprise) KNNWithZScoreTrueNo Clean,0.04926298860219565,0.043171806167400885,0.030396475770925108
1,(Surprise) CoClusteringTrueNo Clean,0.05378277742815188,0.07665198237885462,0.03876651982378855
3,(Surprise) NormalPredictorTrueNo Clean,0.009039752464862596,0.010572687224669605,0.010572687224669605
0,(Surprise) KNNBasic pearson userTrueNo Clean,0.06553772463464093,0.06167400881057269,0.04669603524229075
1,(Surprise) KNNBasic cosine itemTrueNo Clean,0.014646703027760296,0.01497797356828194,0.013656387665198238
2,(Surprise) KNNBasic pearson itemTrueNo Clean,0.022950667785469548,0.022907488986784144,0.025991189427312777
0,(Surprise) KNNBasic cosine userTrueNo Clean,0.0874330466400951,0.07577092511013216,0.05462555066079294
3,(Surprise) KNNWithMeansTrueNo Clean,0.03394203202573246,0.04140969162995595,0.033920704845814977
0,(Surprise) SVD (base model)TrueNo Clean,0.03893346619117544,0.04581497797356828,0.033480176211453744
1,(Surprise) SVD++TrueNo Clean,0.038013425634571,0.03876651982378855,0.034361233480176216
2,(Surprise) NMFTrueNo Clean,0.036161107614852105,0.034361233480176216,0.03524229074889868
3,(Surprise) SlopeOneTrueNo Clean,0.032020138451856514,0.03259911894273128,0.03303964757709251
4,(Surprise) KNNBaselineTrueNo Clean,0.040745752045311515,0.04757709251101322,0.040969162995594714
0,K-markov(k=2)TrueNo Clean,0.06075746451297112,0.06079295154185022,0.054185022026431724
