,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR
0,(Surprise) SVD (base model)(clean_fake=False),0.54016,0.01158,0.01312,0.01256,0.01346,0.04305,0.02414,0.03011
1,(Surprise) SVD++(clean_fake=False),0.55,0.01465,0.0167,0.01583,0.02469,0.05528,0.0305,0.03624
2,(Surprise) NMF(clean_fake=False),0.53816,0.01193,0.01244,0.01256,0.01569,0.04104,0.0236,0.02903
3,(Surprise) SlopeOne(clean_fake=False),0.53972,0.0167,0.01278,0.01237,0.0282,0.04331,0.02453,0.03243
4,(Surprise) KNNBaseline(clean_fake=False),0.55279,0.01874,0.0155,0.02083,0.04097,0.06296,0.03628,0.04287
5,(Surprise) KNNBasic cosine user min = 1(clean_fake=False),0.58286,0.01704,0.02095,0.03497,0.04594,0.11926,0.0599,0.05676
6,(Surprise) KNNBasic pearson user(clean_fake=False),0.5737,0.0092,0.01908,0.02307,0.02024,0.10763,0.0467,0.04136
7,(Surprise) KNNBasic cosine item(clean_fake=False),0.5235,0.00579,0.0063,0.00549,0.01038,0.01821,0.01122,0.01454
8,(Surprise) KNNBasic pearson item(clean_fake=False),0.53501,0.01022,0.00937,0.02104,0.02278,0.03874,0.02843,0.0333
9,(Surprise) KNNWithMeans(clean_fake=False),0.54507,0.02044,0.01312,0.02173,0.0508,0.05556,0.0343,0.03799
10,(Surprise) KNNWithZScore(clean_fake=False),0.54154,0.01704,0.01175,0.01737,0.04009,0.05188,0.02931,0.03163
11,(Surprise) CoClustering(clean_fake=False),0.56215,0.0109,0.0155,0.02007,0.03044,0.0943,0.04036,0.03089
12,(Surprise) BaselineOnly(clean_fake=False),0.55269,0.0167,0.01601,0.01756,0.02542,0.05812,0.03253,0.04242
13,(Surprise) NormalPredictor(clean_fake=False),0.51151,0.00375,0.00358,0.00175,0.00473,0.00736,0.0044,0.00811
14,(Surprise) SVD (base model)(clean_fake=True),0.53948,0.01397,0.0121,0.01378,0.02142,0.03763,0.02434,0.03616
15,(Surprise) SVD++(clean_fake=True),0.53933,0.01193,0.01329,0.0115,0.02106,0.03845,0.02248,0.027
16,(Surprise) NMF(clean_fake=True),0.52639,0.00954,0.00937,0.00532,0.00748,0.01961,0.01254,0.02176
17,(Surprise) SlopeOne(clean_fake=True),0.5352,0.01022,0.01175,0.00859,0.01042,0.03479,0.01887,0.02395
18,(Surprise) KNNBaseline(clean_fake=True),0.54385,0.01056,0.01482,0.00911,0.01187,0.04605,0.02197,0.02041
19,(Surprise) KNNBasic cosine user min = 1(clean_fake=True),0.56432,0.01806,0.01704,0.02964,0.03743,0.08423,0.04797,0.05171
20,(Surprise) KNNBasic pearson user(clean_fake=True),0.55661,0.01601,0.01499,0.03266,0.04501,0.07473,0.04674,0.04755
21,(Surprise) KNNBasic cosine item(clean_fake=True),0.52462,0.00477,0.00698,0.0036,0.00825,0.01886,0.00977,0.01165
22,(Surprise) KNNBasic pearson item(clean_fake=True),0.52561,0.00681,0.00767,0.00751,0.01072,0.02546,0.01429,0.01688
23,(Surprise) KNNWithMeans(clean_fake=True),0.53436,0.0092,0.0109,0.00709,0.00818,0.03512,0.0171,0.02082
24,(Surprise) KNNWithZScore(clean_fake=True),0.53344,0.01533,0.00988,0.02237,0.0292,0.03484,0.02979,0.04424
25,(Surprise) CoClustering(clean_fake=True),0.53534,0.0109,0.00971,0.01498,0.02526,0.03944,0.02471,0.0313
26,(Surprise) BaselineOnly(clean_fake=True),0.5461,0.01193,0.01414,0.01372,0.01975,0.04601,0.02659,0.03444
27,(Surprise) NormalPredictor(clean_fake=True),0.5086,0.00307,0.00256,0.00102,0.0032,0.00459,0.00278,0.00509
