,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,clean_fake
0,(Surprise) SVD (base model),0.54167,0.01431,0.0138,0.01404,0.02382,0.03933,0.02506,0.03295,False
1,(Surprise) SVD++,0.54184,0.01499,0.01295,0.01329,0.02823,0.03926,0.02471,0.03474,False
2,(Surprise) NMF,0.54317,0.01193,0.01465,0.00925,0.01414,0.04545,0.02195,0.02145,False
3,(Surprise) SlopeOne,0.53966,0.01499,0.01278,0.01539,0.03149,0.04331,0.02684,0.0329,False
4,(Surprise) KNNBaseline,0.55251,0.01295,0.0155,0.01419,0.01597,0.06296,0.03075,0.03758,False
5,(Surprise) KNNBasic cosine user min = 1,0.58297,0.01976,0.02095,0.03456,0.06266,0.11926,0.05896,0.04761,False
6,(Surprise) KNNBasic pearson user,0.5752,0.02419,0.01908,0.04932,0.0783,0.10763,0.06824,0.0672,False
7,(Surprise) KNNBasic cosine item,0.52345,0.00477,0.0063,0.00404,0.00658,0.01821,0.00997,0.01411,False
8,(Surprise) KNNBasic pearson item,0.53522,0.01397,0.00937,0.01698,0.03122,0.03874,0.0262,0.03604,False
9,(Surprise) KNNWithMeans,0.54428,0.01022,0.01312,0.01365,0.01199,0.05556,0.02705,0.02907,False
10,(Surprise) KNNWithZScore,0.54168,0.01499,0.01175,0.03605,0.0403,0.05188,0.04409,0.05672,False
11,(Surprise) CoClustering,0.54963,0.02112,0.01141,0.03966,0.05844,0.06348,0.05093,0.06659,False
12,(Surprise) BaselineOnly,0.55286,0.01635,0.01601,0.02859,0.03188,0.05812,0.04094,0.0482,False
13,(Surprise) NormalPredictor,0.51442,0.00204,0.00392,0.00259,0.00469,0.01488,0.00647,0.00659,False
14,(MyMediaLite) UserKNN,0.55194,0.01601,0.01465,0.02277,0.03365,0.0645,0.03665,0.03997,False
15,(MyMediaLite) BPRMF,0.52312,0.00613,0.00664,0.00496,0.00952,0.01899,0.01097,0.01672,False
16,(MyMediaLite) ItemAttributeKNN ,0.52301,0.00511,0.00664,0.0049,0.00843,0.01899,0.01067,0.01538,False
17,(MyMediaLite) ItemKNN,0.55971,0.01431,0.01721,0.01992,0.03347,0.08609,0.03866,0.0306,False
18,(MyMediaLite) MostPopular,0.53969,0.01227,0.01141,0.01359,0.02403,0.04054,0.02407,0.02985,False
19,(MyMediaLite) Random,0.52559,0.00647,0.00596,0.01073,0.01484,0.02723,0.01661,0.01936,False
20,(MyMediaLite) UserAttributeKNN,0.52563,0.00545,0.00596,0.00807,0.01519,0.02723,0.0145,0.01638,False
21,(MyMediaLite) WRMF,0.52836,0.0092,0.01039,0.01012,0.01637,0.03156,0.01831,0.02129,False
22,(MyMediaLite) Zero,0.52922,0.01124,0.00937,0.0081,0.0144,0.03074,0.01667,0.02356,False
23,(MyMediaLite) MultiCoreBPRMF ,0.52692,0.00784,0.00869,0.00893,0.01248,0.02498,0.01597,0.02648,False
24,(MyMediaLite) SoftMarginRankingMF,0.52174,0.00511,0.00562,0.00492,0.00873,0.01808,0.00985,0.01159,False
25,(MyMediaLite) WeightedBPRMF,0.53257,0.01158,0.01022,0.01189,0.01908,0.03983,0.02173,0.02699,False
26,(MyMediaLite) MostPopularByAttributes,0.53256,0.0109,0.01022,0.01247,0.0242,0.03983,0.02195,0.02612,False
27,(MyMediaLite) BPRSLIM,0.54595,0.01295,0.01261,0.01815,0.02792,0.05847,0.03132,0.03315,False
28,K-markov(k=2),0.56182,0.01874,0.02095,0.02319,0.03469,0.0738,0.04155,0.0426,False
29,K-markov(k=3),0.53861,0.01227,0.01363,0.01057,0.01819,0.03906,0.02176,0.02437,False
30,K-markov-latest(k=2),0.55112,0.01772,0.01755,0.01964,0.03063,0.05988,0.03471,0.03931,False
