alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,clean_fake,filled_with_popular
(Surprise) KNNBasic cosine user min = 1,0.5956,0.01601,0.02385,0.02653,0.04226,0.13919,0.05712,0.04114,FALSE,TRUE
K-markov(k=2),0.57493,0.02351,0.02385,0.02766,0.04507,0.09373,0.05074,0.05543,FALSE,TRUE
K-markov(k=2),0.57488,0.01908,0.02385,0.02641,0.03625,0.09373,0.04885,0.04723,TRUE,TRUE
K-markov-latest(k=2),0.56966,0.01772,0.02232,0.02139,0.02747,0.08626,0.04329,0.04643,FALSE,TRUE
K-markov-latest(k=2),0.5694,0.01533,0.02232,0.02043,0.02592,0.08626,0.04161,0.04047,TRUE,TRUE
(Surprise) KNNBasic pearson user,0.58772,0.02215,0.02198,0.03618,0.0694,0.12756,0.06228,0.0497,FALSE,TRUE
(Surprise) KNNBasic cosine user min = 1,0.58087,0.01397,0.02147,0.02971,0.03443,0.10857,0.05378,0.05271,TRUE,TRUE
(Surprise) CoClustering,0.58401,0.01533,0.02044,0.02237,0.04116,0.12276,0.04932,0.03308,FALSE,TRUE
(MyMediaLite) ItemKNN,0.57374,0.02828,0.0201,0.04669,0.08134,0.10602,0.06656,0.07082,TRUE,TRUE
(MyMediaLite) ItemKNN,0.57358,0.0276,0.0201,0.0338,0.07211,0.10602,0.05654,0.05729,FALSE,TRUE
(Surprise) KNNBasic pearson user,0.57373,0.01908,0.01942,0.04143,0.05385,0.09907,0.06006,0.06009,TRUE,TRUE
(Surprise) KNNBaseline,0.56112,0.0167,0.01925,0.01863,0.03047,0.07039,0.03601,0.03533,TRUE,TRUE
(Surprise) BaselineOnly,0.56581,0.01533,0.01891,0.02138,0.03061,0.07805,0.04034,0.04409,FALSE,TRUE
(Surprise) BaselineOnly,0.56369,0.02317,0.01857,0.0255,0.04807,0.07035,0.04251,0.04837,TRUE,TRUE
(Surprise) KNNBaseline,0.56547,0.01431,0.0184,0.02114,0.02919,0.08289,0.04006,0.03493,FALSE,TRUE
K-markov(k=3),0.55761,0.0184,0.0184,0.01887,0.03011,0.06545,0.0359,0.0424,FALSE,TRUE
K-markov(k=3),0.55738,0.01772,0.0184,0.0167,0.02978,0.06545,0.03366,0.03536,TRUE,TRUE
(Surprise) CoClustering,0.56458,0.01976,0.01721,0.02389,0.05042,0.07961,0.04238,0.04029,TRUE,TRUE
(Surprise) SVD++,0.55826,0.01465,0.01721,0.01665,0.03064,0.06744,0.03352,0.03363,FALSE,TRUE
(MyMediaLite) BPRSLIM,0.56302,0.01635,0.01704,0.02182,0.03141,0.08489,0.04102,0.04329,TRUE,TRUE
(MyMediaLite) BPRSLIM,0.56214,0.01601,0.01687,0.02226,0.03466,0.08678,0.0413,0.03984,FALSE,TRUE
(Surprise) SVD (base model),0.55981,0.01567,0.0167,0.02321,0.03883,0.0666,0.03903,0.04379,FALSE,TRUE
(Surprise) SVD (base model),0.5526,0.0184,0.01635,0.01919,0.03351,0.05502,0.03396,0.04582,TRUE,TRUE
(Surprise) SVD++,0.55509,0.01567,0.01618,0.01922,0.03262,0.06445,0.03427,0.03423,TRUE,TRUE
(Surprise) SlopeOne,0.55225,0.01295,0.01618,0.01562,0.01764,0.05913,0.03083,0.03529,TRUE,TRUE
(Surprise) KNNWithMeans,0.5578,0.01704,0.01601,0.01937,0.03745,0.07549,0.03716,0.03765,FALSE,TRUE
(Surprise) NMF,0.55507,0.01431,0.01584,0.01724,0.02451,0.06468,0.03352,0.04026,TRUE,TRUE
(Surprise) SlopeOne,0.55248,0.01533,0.01567,0.01645,0.02683,0.06323,0.03253,0.03769,FALSE,TRUE
(Surprise) KNNWithMeans,0.55183,0.0184,0.01533,0.01819,0.03951,0.05946,0.03266,0.03457,TRUE,TRUE
(Surprise) NMF,0.55133,0.01806,0.01516,0.02208,0.0399,0.06346,0.03697,0.04375,FALSE,TRUE
(Surprise) KNNWithZScore,0.55495,0.0184,0.01465,0.04643,0.05188,0.0718,0.05744,0.06982,FALSE,TRUE
(Surprise) KNNWithZScore,0.55034,0.01567,0.01431,0.01897,0.02906,0.05918,0.03358,0.04361,TRUE,TRUE
(MyMediaLite) MultiCoreBPRMF ,0.54818,0.01056,0.01346,0.01771,0.0229,0.05436,0.03054,0.03374,TRUE,TRUE
(MyMediaLite) WRMF,0.54571,0.01567,0.01346,0.02341,0.0298,0.05439,0.03534,0.0443,TRUE,TRUE
(MyMediaLite) MostPopularByAttributes,0.54553,0.01124,0.01312,0.01474,0.01878,0.05518,0.02796,0.03123,FALSE,TRUE
(MyMediaLite) WeightedBPRMF,0.54535,0.00954,0.01312,0.01266,0.0184,0.05518,0.02586,0.02639,FALSE,TRUE
(MyMediaLite) WRMF,0.54485,0.01431,0.01244,0.02005,0.03146,0.04847,0.03125,0.03951,FALSE,TRUE
(Surprise) KNNBasic pearson item,0.54787,0.0109,0.01227,0.02131,0.02562,0.05867,0.03353,0.03433,FALSE,TRUE
(MyMediaLite) MostPopularByAttributes,0.54636,0.01329,0.01227,0.01771,0.03484,0.05795,0.0304,0.02849,TRUE,TRUE
(MyMediaLite) WeightedBPRMF,0.5462,0.01193,0.01227,0.0208,0.03179,0.05795,0.03331,0.03779,TRUE,TRUE
(Surprise) KNNBasic pearson item,0.54262,0.01022,0.0121,0.01182,0.0154,0.0498,0.02426,0.02719,TRUE,TRUE
(MyMediaLite) MultiCoreBPRMF ,0.54282,0.01193,0.01175,0.01355,0.0203,0.04551,0.02509,0.03209,FALSE,TRUE
(Surprise) KNNBasic cosine item,0.54207,0.01329,0.01141,0.01666,0.02677,0.0432,0.02693,0.03065,TRUE,TRUE
(MyMediaLite) MostPopular,0.53977,0.01158,0.01141,0.01031,0.01869,0.04054,0.02169,0.02716,TRUE,TRUE
(MyMediaLite) UserKNN,0.53971,0.01329,0.01141,0.01618,0.02769,0.04054,0.02646,0.03615,TRUE,TRUE
(MyMediaLite) UserKNN,0.53968,0.01022,0.01141,0.01376,0.02156,0.04054,0.02383,0.02682,FALSE,TRUE
(MyMediaLite) MostPopular,0.53951,0.01295,0.01141,0.01027,0.0222,0.04054,0.02129,0.0262,FALSE,TRUE
(MyMediaLite) ItemAttributeKNN ,0.5364,0.01329,0.01073,0.01889,0.02699,0.04164,0.02791,0.0364,TRUE,TRUE
(MyMediaLite) BPRMF,0.53638,0.01022,0.01073,0.01261,0.01928,0.04164,0.02269,0.02835,TRUE,TRUE
(MyMediaLite) ItemAttributeKNN ,0.53869,0.01124,0.00971,0.01216,0.0244,0.03893,0.02218,0.02925,FALSE,TRUE
(MyMediaLite) BPRMF,0.53863,0.01056,0.00971,0.01253,0.02152,0.03893,0.02216,0.0263,FALSE,TRUE
(MyMediaLite) Zero,0.52907,0.00886,0.00937,0.00712,0.01084,0.03074,0.01561,0.01945,TRUE,TRUE
(MyMediaLite) Zero,0.529,0.01056,0.00937,0.01056,0.01626,0.03074,0.01843,0.02314,FALSE,TRUE
(Surprise) KNNBasic cosine item,0.53705,0.01193,0.0092,0.01905,0.02682,0.03813,0.02842,0.0419,FALSE,TRUE
(MyMediaLite) SoftMarginRankingMF,0.53246,0.0092,0.0092,0.01079,0.01572,0.03613,0.01957,0.0226,FALSE,TRUE
(Surprise) NormalPredictor,0.5321,0.00852,0.00869,0.01173,0.0173,0.03548,0.02021,0.02464,TRUE,TRUE
(MyMediaLite) SoftMarginRankingMF,0.53141,0.00613,0.00835,0.00895,0.01531,0.03252,0.01667,0.01631,TRUE,TRUE
(Surprise) NormalPredictor,0.52604,0.00613,0.00647,0.01008,0.01489,0.0293,0.0162,0.01601,FALSE,TRUE
(MyMediaLite) UserAttributeKNN,0.51785,0.00511,0.00443,0.00583,0.0071,0.01864,0.00999,0.01185,TRUE,TRUE
(MyMediaLite) Random,0.51775,0.00307,0.00443,0.00525,0.00737,0.01864,0.00937,0.01003,TRUE,TRUE
(MyMediaLite) UserAttributeKNN,0.51635,0.00443,0.00409,0.00879,0.01591,0.0217,0.01278,0.01132,FALSE,TRUE
(MyMediaLite) Random,0.51632,0.00409,0.00409,0.00627,0.01112,0.0217,0.01085,0.01005,FALSE,TRUE
